id,first_name,last_name,web_name,position,team,expected_goals,expected_assists,news
559.0,Nélson,Cabral Semedo,N.Semedo,2.0,20.0,0.01,0.13,
561.0,Pedro,Cardoso de Lima,Pedro Lima,2.0,20.0,0.0,0.0,
562.0,Daniel,Castelo Podence,Podence,3.0,20.0,0.04,0.01,Transferred to Al-Shabab
563.0,Rodrigo,Martins Gomes,R.Gomes,3.0,20.0,0.06,0.01,
564.0,Santiago,Bueno,S.Bueno,2.0,20.0,0.0,0.0,
565.0,Pablo,Sarabia,Sarabia,3.0,20.0,0.1,0.02,
566.0,Jørgen,Strand Larsen,Strand Larsen,4.0,20.0,0.79,0.38,
567.0,Toti António,Gomes,Toti,2.0,20.0,0.0,0.24,Hamstring injury - 75% chance of playing
637.0,Bastien,Meupiyou,Meupiyou,2.0,20.0,0.0,0.0,Knock - Expected back 19 Oct
642.0,André,Trindade da Costa Neto,André,3.0,20.0,0.0,0.01,
655.0,Carlos Roberto,Forbs Borges,Forbs,3.0,20.0,0.0,0.0,
